spotify_id,daily_rank,daily_movement,weekly_movement,country,popularity,is_explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3VBj0lzjmhTzVFPEDOjNCG,38,6,1,HK,84,FALSE,188179,0.903,0.685,11,-4.772,0,0.105,0.069,1.12E-05,0.127,0.873,130.01,4
6UuJk5rvrxSnOAwv6uSr5b,39,11,11,HK,56,FALSE,244693,0.414,0.456,10,-6.719,1,0.0323,0.671,0,0.117,0.569,188.013,3
3Frg7nyANyCvDpbyaOxtdf,40,0,4,HK,59,FALSE,218840,0.423,0.418,10,-9.417,1,0.0388,0.711,1.73E-05,0.126,0.136,136.35,4
4eQKKfqMKSofIelC3fXyjn,41,1,-1,HK,54,FALSE,192067,0.752,0.773,11,-6.403,0,0.0988,0.285,0,0.175,0.58,87.002,4
3vkCueOmm7xQDoJ17W1Pm3,42,1,8,HK,98,FALSE,137773,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
6gcuJpHu0Ey30D5WR76y98,43,-2,-2,HK,81,FALSE,179164,0.787,0.573,9,-6.197,1,0.0606,0.0147,1.72E-05,0.0926,0.575,111.996,4
4WBNWQZR2TCDanKIg95gpT,44,2,2,HK,58,FALSE,261215,0.465,0.629,9,-6.522,0,0.0358,0.353,0,0.165,0.382,135.771,4
3r8RuvgbX9s7ammBn07D3W,45,0,-3,HK,85,FALSE,185506,0.814,0.641,6,-5.957,0,0.111,0.027,0,0.0993,0.183,133.854,4
172oAbLGpgeCsukno7oBRe,46,1,-3,HK,60,FALSE,308053,0.319,0.198,0,-11.611,1,0.0402,0.942,8.65E-06,0.0817,0.287,62.925,4
1dBroK67DSaaEE5kvkVjzG,47,3,3,HK,58,FALSE,252746,0.635,0.389,5,-13.106,0,0.0638,0.443,0,0.114,0.667,79.991,4
6MCjmGYlw6mQVWRFVgBRvB,48,1,-15,HK,77,FALSE,258838,0.663,0.871,8,-5.287,1,0.03,0.00299,1.80E-06,0.337,0.826,130.025,4
2nNl8uFxj9tu9jqYwSzkMm,49,1,-17,HK,56,FALSE,278133,0.475,0.718,10,-6.463,1,0.0457,0.565,0,0.186,0.522,143.986,4
1zd35Y44Blc1CwwVbW3Qnk,50,0,-14,HK,76,FALSE,248026,0.725,0.853,10,-3.193,1,0.0516,0.305,0,0.115,0.707,134.991,4
0R6NfOiLzLj4O5VbYSJAjf,1,0,7,GT,88,FALSE,172264,0.751,0.819,11,-4.372,0,0.0409,0.255,0,0.236,0.697,131.842,3
4bw8mcDUSRWfQo63ZTYRnU,2,0,-1,GT,90,TRUE,142334,0.909,0.762,9,-3.974,1,0.0643,0.434,0,0.0856,0.843,101.987,3
6uIIdjYTxxpWOyWuVXrKQO,3,1,0,GT,94,TRUE,191466,0.808,0.944,10,-4.863,0,0.0408,0.183,1.11E-06,0.138,0.937,124.934,3
5XVdHRf4CAJ2Jm0uMIy5qY,4,1,3,GT,90,TRUE,156345,0.778,0.835,11,-3.598,0,0.0767,0.152,0,0.109,0.666,140.082,4
0O3U5iwTbiXCREMkvotJuN,5,-2,-3,GT,90,FALSE,165848,0.616,0.834,9,-3.069,1,0.0664,0.06,0,0.338,0.746,151.701,4
6CvTEtGagmzQvkUzzyKR9k,6,0,-2,GT,95,TRUE,143327,0.815,0.741,1,-6.04,1,0.0569,0.0277,0.0183,0.219,0.591,125.031,4
5RqSsdzTNPX1uzkmlHCFvK,7,0,-2,GT,93,TRUE,172797,0.841,0.738,7,-7.455,0,0.307,0.52,0,0.0892,0.484,169.918,4
7iQXYTyuG13aoeHxGG28Nh,8,0,-2,GT,96,TRUE,162767,0.911,0.778,5,-2.248,1,0.262,0.0887,2.16E-05,0.179,0.345,96.057,4
25OeKzcqakFPaJlXHPE5lm,9,0,0,GT,87,FALSE,186455,0.535,0.395,10,-7.805,1,0.0634,0.597,6.78E-05,0.0969,0.488,157.795,3
7mXuWTczZNxG5EDcjFEuJR,10,0,0,GT,93,TRUE,212878,0.646,0.736,5,-7.118,0,0.0449,0.216,0,0.415,0.873,140.098,3
7bywjHOc0wSjGGbj04XbVi,11,1,4,GT,88,FALSE,196800,0.774,0.86,7,-2.888,0,0.13,0.131,0,0.116,0.446,100.019,4
2yzshFeBIwH8tWIqHEFLeD,12,-1,-1,GT,86,FALSE,194563,0.571,0.72,9,-4.089,1,0.0458,0.213,0,0.271,0.542,83.827,4
7ABLbnD53cQK00mhcaOUVG,13,0,-1,GT,94,TRUE,197920,0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,91.986,4
6RcAHyC5sAUIbPTkhOQwd8,14,1,2,GT,90,TRUE,179013,0.728,0.589,7,-7.115,1,0.0376,0.424,7.78E-06,0.166,0.767,77.475,4
